shortcode,url,type,taken_at,timestamp,views,likes,comments,duration,caption,thumbnail
DXZQuU3ja97,https://www.instagram.com/reel/DXZQuU3ja97/,clips,2026-04-21T13:11:34.000Z,1776777094,,4547,297,,"eu tinha medo do escuro, depois medo de falhar. mas agora escolhi ter medo de desistir pelo medo - e só assim pude acender a luz e ver as coisas mudarem. ☀️   🎥: @clayver___ foi uma honra ser dirigida por VOCÊ e seu time, obrigada por cada troca. o melhor!!!!! 💙",https://instagram.fbfh3-3.fna.fbcdn.net/v/t51.71878-15/670788879_26501515159477565_7894763870854818418_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=100&ig_cache_key=Mzg4MDIwNjEwNjIwMzM2OTMzOQ%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=qLyXAVaV7n8Q7kNvwECPlIa&_nc_oc=AdqBsAZdx_5Ldu-NLvbY-gPwCHS9yfGCZHn9TFBXFbTLRUN8svoUz4Kp25KYvhYq3Do&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-3.fna&_nc_gid=3E3NHjcA8WnuWgka_fmgaw&_nc_ss=7a22e&oh=00_AQCaoF_s8PYsWlGjnQRhkeWXNY0zwUiwcpNJUhpxEREcYA&oe=6A67EFB6
DXSWgdXDuCY,https://www.instagram.com/reel/DXSWgdXDuCY/,clips,2026-04-18T20:42:51.000Z,1776544971,,8521,571,,"uma carta pra você aberta pra VOCÊ, meu agradecimento aos participantes e minha promessa ao meu futuro! 💌💯🔮",https://instagram.fbfh2-1.fna.fbcdn.net/v/t51.71878-15/670779018_1757797261862372_3863677885089035025_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=104&ig_cache_key=Mzg3ODI2MTIxNjY5MTI4MjA3Mg%3D%3D.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjY0MC5zZHIudmlkZW9fbmZyYW1lX2NvdmVyX2ZyYW1lLkMzIn0%3D&_nc_ohc=yQlkp7Mi4osQ7kNvwGf9MiL&_nc_oc=AdpQW65AkGcar3bMdSX1GPKsM2ypF8Z5iK_iFCBfTfWfwgsjg-YEvtKNqFthh2jxAew&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh2-1.fna&_nc_gid=3E3NHjcA8WnuWgka_fmgaw&_nc_ss=7a22e&oh=00_AQCcWRyl0YZ2UzxuUOiiiJw-j_SKvsfESW-2UpFiu5V9Ag&oe=6A67F9BA
DXMnTRgjf2C,https://www.instagram.com/reel/DXMnTRgjf2C/,clips,2026-04-16T15:14:01.000Z,1776352441,,4164,351,,"💯 FORMATO COMBINADO é o último formato do desafio, e ele é o 1º passo para encontrar O SEU formato, com sua própria personalidade: você une 2 ou mais formatos que você mais gosta e cria algo único seu.   Topa o Desafio? Escreva FORMATO CRIATIVO para acessar a plataforma, lá tem uma curadoria de referências pra você criar usando ele e na comunidade tem aula ao vivo de como editar esse formato!",https://instagram.fbfh3-3.fna.fbcdn.net/v/t51.82787-15/670788319_18546843172070133_2663415676786148404_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=102&ig_cache_key=Mzg3NjY0NjIyNzU0MjkzMjg2NjE4NTQ2ODQzMTY5MDcwMTMz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=fJP1BVNjOMMQ7kNvwHbJD2u&_nc_oc=Adq6Gc_RPiMOxnZELVIM4eszML_EJ54MjslXkfpbUba4ph7vVUE6e9KySaD4_gwHGHc&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-3.fna&_nc_gid=3E3NHjcA8WnuWgka_fmgaw&_nc_ss=7a22e&oh=00_AQDxdvM2UKEGCASJ9FLl264RxBhiHmIaBUiHzgP8I0TQMQ&oe=6A681FFA
DXJ9vPyDSSN,https://www.instagram.com/reel/DXJ9vPyDSSN/,clips,2026-04-15T14:31:04.000Z,1776263464,,4244,170,,"💯 O NARRADOR (que é diferente de “narrado”) é um formato que começou como uma trend, mas funcionou tanto de formas originais que virou um formato oficial até hoje (o capcut tem essa ferramenta de narrador) - ele é super envolvente já que você conversa com “uma voz do além”.  Topa o Desafio? Escreva FORMATO CRIATIVO para acessar a plataforma, lá tem uma curadoria de referências pra você criar usando ele e na comunidade tem aula ao vivo de como editar esse formato!",https://instagram.fbfh3-3.fna.fbcdn.net/v/t51.82787-15/670739608_18546843607070133_9138320496330152048_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=101&ig_cache_key=Mzg3NTkwMDQ4MTkyNzQ1NTg4NTE4NTQ2ODQzNjA0MDcwMTMz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=cQkPxwxcfRYQ7kNvwFeFpzD&_nc_oc=AdpQ56ZaRu1UAgWPttjOep9Ww5f3KcettiGNOBoT4Ym5Y0nVMc8XjqrW1ztOXxzd_Z4&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-3.fna&_nc_gid=3E3NHjcA8WnuWgka_fmgaw&_nc_ss=7a22e&oh=00_AQDJJRybWThxROrPi8YPdQQCAoWeeajAjzZBoZzWne2-sg&oe=6A6812D8
DXHYCNIjYbP,https://www.instagram.com/reel/DXHYCNIjYbP/,clips,2026-04-14T14:26:05.000Z,1776176765,,5137,214,,"💯 ANALOGIA é um formato que funciona porque facilita o entendimento do seu público para e compreender a mensagem que você quer transmitir.  Topa o Desafio? Escreva FORMATO CRIATIVO para acessar a plataforma, lá tem uma curadoria de referências pra você criar usando ele e na comunidade tem aula ao vivo de como editar esse formato!",https://instagram.fbfh3-2.fna.fbcdn.net/v/t51.82787-15/670525440_18546412264070133_8210167724577536934_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=108&ig_cache_key=Mzg3NTE3MTcwOTAzMjk1NzY0NzE4NTQ2NDEyMjYxMDcwMTMz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=3mfn1-5RPKoQ7kNvwFZnVyK&_nc_oc=AdrhsYG494qJY3RhPSXPmKnLGj5RQCM5H215U9vleS5YboT256YhlAasffM8Hdbo0-E&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-2.fna&_nc_gid=3E3NHjcA8WnuWgka_fmgaw&_nc_ss=7a22e&oh=00_AQBBAHMbEVsM2fGDd3AIqdlQOMwoGfrOO5Mf6j617bqO_A&oe=6A67F148
DXFCXLADb-c,https://www.instagram.com/reel/DXFCXLADb-c/,clips,2026-04-13T16:39:52.000Z,1776098392,,4242,119,,"💯 CRIATIVO-PREGUIÇOSO é um formato pros preguiçosos de plantão 😅 Onde você só gasta energia pensando em um gancho chamativo/ criativo e depois passa o resto do vídeo de forma simples, apenas falando pra câmera.   Topa o Desafio? Escreva FORMATO CRIATIVO para acessar a plataforma, lá tem uma curadoria de referências pra você criar usando ele e na comunidade tem aula ao vivo de como editar esse formato!",https://instagram.fbfh2-1.fna.fbcdn.net/v/t51.82787-15/670916099_18546412135070133_4336878186911728946_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=107&ig_cache_key=Mzg3NDUxMzQ0Mjg3NTIyODA2MDE4NTQ2NDEyMTMyMDcwMTMz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=CApstNuLefUQ7kNvwGtgRmK&_nc_oc=AdoZsg_yelzAh4dP-hcacm8Q9a3y__j_H_J7m5zugkHuQKAP0KcYypZ96l311QJ4Hto&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh2-1.fna&_nc_gid=L6nF5h19Uu0_mhBcr0LRqQ&_nc_ss=7a22e&oh=00_AQCW-1uygRRdghOERCJHl7MtM7GirQ8CFzC3q1-KODOBFw&oe=6A67FF6F
DXCRAh4jU9C,https://www.instagram.com/reel/DXCRAh4jU9C/,clips,2026-04-12T14:46:42.000Z,1776005202,,3281,183,,"💯 CONVERSA DE BAR é um dos formatos mais simples e ideal para os tímidos - já que você nem precisa olhar pra câmera! A câmera funciona como mais uma pessoa nessa “roda de conversa”  Topa o Desafio? Escreva FORMATO CRIATIVO para acessar a plataforma, lá tem uma curadoria de referências pra você criar usando ele e na comunidade tem aula ao vivo de como editar esse formato!",https://instagram.fbfh3-2.fna.fbcdn.net/v/t51.82787-15/669968937_18546052834070133_216896464884129267_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=103&ig_cache_key=Mzg3MzczMzQzMjY2NTAwMTc5NDE4NTQ2MDUyODI4MDcwMTMz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=DEzzKc47Tx8Q7kNvwGs6lAK&_nc_oc=Adpt76Xtr5bRKJKWLI9DpGNzl8laqEsZOy0xYcMtL09FnSL3c3yMs-oihC4jBTnFot8&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-2.fna&_nc_gid=L6nF5h19Uu0_mhBcr0LRqQ&_nc_ss=7a22e&oh=00_AQAcyWJeNOldjAGXUVK-7mPC2PsZ-ifu0WeMx_ypBgTkzw&oe=6A682203
DW_oyhpjZYa,https://www.instagram.com/reel/DW_oyhpjZYa/,clips,2026-04-11T14:16:55.000Z,1775917015,,3412,111,,"a única forma de não viciar na Malu e no Tanks, é não assistir!!! Por isso escolhi fazer uma ANÁLISE deles pra falar desse formato que naturalmente mostra que você SABE do que fala no seu nicho. Ele é o formato que mais funcionou no meu perfil até hoje!  💯 Topa o Desafio? Escreva FORMATO CRIATIVO para acessar a plataforma, lá tem uma curadoria de referências pra você criar usando ele e na comunidade tem aula ao vivo de como editar esse formato!",https://instagram.fbfh2-1.fna.fbcdn.net/v/t51.82787-15/670776905_18545870221070133_1393734312547825919_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=Mzg3Mjk5MzU5ODUyNjgyMTkxNDE4NTQ1ODcwMjE1MDcwMTMz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=KhWJqp_LBVcQ7kNvwH5crw0&_nc_oc=AdrMSlvAtzV6eY5_OGPgr4pKV_42SevSsjaI5Lw4wewZ3EYutrYskDOyZ9xh4Bu6AVw&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh2-1.fna&_nc_gid=L6nF5h19Uu0_mhBcr0LRqQ&_nc_ss=7a22e&oh=00_AQAusqoSGiOZK_xxwjdavejpXpNJi8V2pHXsOcMyb1A39A&oe=6A6810FC
DW9Dw5XDTJU,https://www.instagram.com/reel/DW9Dw5XDTJU/,clips,2026-04-10T14:13:27.000Z,1775830407,,4109,200,,"💯 eu preciso confessar: PALESTRINHA é o meu formato criativo FAVORITO!! Ele é super divertido de assistir e super simples pra gravar - basta fazer um slide simples de algo que você quer convencer alguém, e showtime! 🐕  Topa o Desafio? Escreva FORMATO CRIATIVO para acessar a plataforma, lá tem uma curadoria de referências pra você criar usando ele e na comunidade tem aula ao vivo de como editar esse formato!",https://instagram.fbfh2-1.fna.fbcdn.net/v/t51.82787-15/669722433_18545689729070133_7486630454666979978_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=111&ig_cache_key=Mzg3MjI2NzgwODg3MjkzNjAyMDE4NTQ1Njg5NzI2MDcwMTMz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=dARF9vPHFpwQ7kNvwFoCcmX&_nc_oc=Adrk6JBldGIm21QlXvaGy-HN9ujUS_VhaJI1ESGDKGBRpPO-C-meWtXjuJsxQjBLtvU&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh2-1.fna&_nc_gid=L6nF5h19Uu0_mhBcr0LRqQ&_nc_ss=7a22e&oh=00_AQD0rzoRDyA9GzSSpwCJyP_dPmwNe0yyroNiJGVKq6k0rA&oe=6A682098
DW4FCm3DSNV,https://www.instagram.com/reel/DW4FCm3DSNV/,clips,2026-04-08T15:47:55.000Z,1775663275,,4839,187,,"💯 COMPARAÇÃO é um dos formatos que mais dá resultado - já que ele é visual, gera conexão, fácil de passar a mensagem e claro, fácil de gravar!   Topa o Desafio? Escreva FORMATO CRIATIVO para acessar a plataforma, lá tem uma curadoria de referências pra você criar usando ele e na comunidade tem aula ao vivo de como editar esse formato!",https://instagram.fbfh3-2.fna.fbcdn.net/v/t51.82787-15/663102224_18545247319070133_4029030343552562463_n.jpg?stp=dst-jpg_e15_tt6&_nc_cat=109&ig_cache_key=Mzg3MDg2NjA0OTEyMjI0NzUwOTE4NTQ1MjQ3MzE2MDcwMTMz.3-ccb7-5&ccb=7-5&_nc_sid=58cdad&efg=eyJ2ZW5jb2RlX3RhZyI6IkNMSVBTLnhwaWRzLjEwODAuc2RyLnZpZGVvX2RlZmF1bHRfY292ZXJfZnJhbWUuQzMifQ%3D%3D&_nc_ohc=uOM5WsezcCsQ7kNvwEI2cqh&_nc_oc=AdrAaHdl-m0pH8tBnEC6dDOrD3x0TABgjJm6P9xHDqb88CMPI75rUQVmBwDxhDyCd7s&_nc_ad=z-m&_nc_cid=0&_nc_zt=23&_nc_ht=instagram.fbfh3-2.fna&_nc_gid=L6nF5h19Uu0_mhBcr0LRqQ&_nc_ss=7a22e&oh=00_AQBeia3eXJhG25E1BKTi0DLGxot45YMFh2_btI52AAioSA&oe=6A682443
